"timezone","offset","offset_dst"
"AfricaAbidjan","0","0"
"AfricaAccra","0","0"
"AfricaAddis_Ababa","10800","10800"
"AfricaAlgiers","3600","3600"
"AfricaAsmara","10800","10800"
"AfricaAsmera","10800","10800"
"AfricaBamako","0","0"
"AfricaBangui","3600","3600"
"AfricaBanjul","0","0"
"AfricaBissau","0","0"
"AfricaBlantyre","7200","7200"
"AfricaBrazzaville","3600","3600"
"AfricaBujumbura","7200","7200"
"AfricaCairo","7200","7200"
"AfricaCasablanca","0","3600"
"AfricaCeuta","3600","7200"
"AfricaConakry","0","0"
"AfricaDakar","0","0"
"AfricaDar_es_Salaam","10800","10800"
"AfricaDjibouti","10800","10800"
"AfricaDouala","3600","3600"
"AfricaEl_Aaiun","0","3600"
"AfricaFreetown","0","0"
"AfricaGaborone","7200","7200"
"AfricaHarare","7200","7200"
"AfricaJohannesburg","7200","7200"
"AfricaJuba","10800","10800"
"AfricaKampala","10800","10800"
"AfricaKhartoum","10800","10800"
"AfricaKigali","7200","7200"
"AfricaKinshasa","3600","3600"
"AfricaLagos","3600","3600"
"AfricaLibreville","3600","3600"
"AfricaLome","0","0"
"AfricaLuanda","3600","3600"
"AfricaLubumbashi","7200","7200"
"AfricaLusaka","7200","7200"
"AfricaMalabo","3600","3600"
"AfricaMaputo","7200","7200"
"AfricaMaseru","7200","7200"
"AfricaMbabane","7200","7200"
"AfricaMogadishu","10800","10800"
"AfricaMonrovia","0","0"
"AfricaNairobi","10800","10800"
"AfricaNdjamena","3600","3600"
"AfricaNiamey","3600","3600"
"AfricaNouakchott","0","0"
"AfricaOuagadougou","0","0"
"AfricaPorto-Novo","3600","3600"
"AfricaSao_Tome","0","0"
"AfricaTimbuktu","0","0"
"AfricaTripoli","7200","7200"
"AfricaTunis","3600","3600"
"AfricaWindhoek","3600","7200"
"AmericaAdak","-36000","-32400"
"AmericaAnchorage","-32400","-28800"
"AmericaAnguilla","-14400","-14400"
"AmericaAntigua","-14400","-14400"
"AmericaAraguaina","-10800","-10800"
"AmericaArgentinaBuenos_Aires","-10800","-10800"
"AmericaArgentinaCatamarca","-10800","-10800"
"AmericaArgentinaComodRivadavia","-10800","-10800"
"AmericaArgentinaCordoba","-10800","-10800"
"AmericaArgentinaJujuy","-10800","-10800"
"AmericaArgentinaLa_Rioja","-10800","-10800"
"AmericaArgentinaMendoza","-10800","-10800"
"AmericaArgentinaRio_Gallegos","-10800","-10800"
"AmericaArgentinaSalta","-10800","-10800"
"AmericaArgentinaSan_Juan","-10800","-10800"
"AmericaArgentinaSan_Luis","-10800","-10800"
"AmericaArgentinaTucuman","-10800","-10800"
"AmericaArgentinaUshuaia","-10800","-10800"
"AmericaAruba","-14400","-14400"
"AmericaAsuncion","-10800","-10800"
"AmericaAtikokan","-18000","-18000"
"AmericaAtka","-36000","-32400"
"AmericaBahia","-10800","-10800"
"AmericaBahia_Banderas","-21600","-18000"
"AmericaBarbados","-14400","-14400"
"AmericaBelem","-10800","-10800"
"AmericaBelize","-21600","-21600"
"AmericaBlanc-Sablon","-14400","-14400"
"AmericaBoa_Vista","-14400","-14400"
"AmericaBogota","-18000","-18000"
"AmericaBoise","-25200","-21600"
"AmericaBuenos_Aires","-10800","-10800"
"AmericaCambridge_Bay","-25200","-21600"
"AmericaCampo_Grande","-14400","-10800"
"AmericaCancun","-18000","-18000"
"AmericaCaracas","-16200","-16200"
"AmericaCatamarca","-10800","-10800"
"AmericaCayenne","-10800","-10800"
"AmericaCayman","-18000","-18000"
"AmericaChicago","-21600","-18000"
"AmericaChihuahua","-25200","-21600"
"AmericaCoral_Harbour","-18000","-18000"
"AmericaCordoba","-10800","-10800"
"AmericaCosta_Rica","-21600","-21600"
"AmericaCreston","-25200","-25200"
"AmericaCuiaba","-14400","-10800"
"AmericaCuracao","-14400","-14400"
"AmericaDanmarkshavn","0","0"
"AmericaDawson","-28800","-25200"
"AmericaDawson_Creek","-25200","-25200"
"AmericaDenver","-25200","-21600"
"AmericaDetroit","-18000","-14400"
"AmericaDominica","-14400","-14400"
"AmericaEdmonton","-25200","-21600"
"AmericaEirunepe","-18000","-18000"
"AmericaEl_Salvador","-21600","-21600"
"AmericaEnsenada","-28800","-25200"
"AmericaFort_Nelson","-25200","-25200"
"AmericaFort_Wayne","-18000","-14400"
"AmericaFortaleza","-10800","-10800"
"AmericaGlace_Bay","-14400","-10800"
"AmericaGodthab","-10800","-7200"
"AmericaGoose_Bay","-14400","-10800"
"AmericaGrand_Turk","-14400","-14400"
"AmericaGrenada","-14400","-14400"
"AmericaGuadeloupe","-14400","-14400"
"AmericaGuatemala","-21600","-21600"
"AmericaGuayaquil","-18000","-18000"
"AmericaGuyana","-14400","-14400"
"AmericaHalifax","-14400","-10800"
"AmericaHavana","-18000","-14400"
"AmericaHermosillo","-25200","-25200"
"AmericaIndianaIndianapolis","-18000","-14400"
"AmericaIndianaKnox","-21600","-18000"
"AmericaIndianaMarengo","-18000","-14400"
"AmericaIndianaPetersburg","-18000","-14400"
"AmericaIndianaTell_City","-21600","-18000"
"AmericaIndianaVevay","-18000","-14400"
"AmericaIndianaVincennes","-18000","-14400"
