Date Received;Requestor;Event Location;Event Start Date;Event End Date;Permit Status;Approved or Denied
01/01/2012;Coalition Against NATO/G8 War & Poverty Agenda;Daley Center;05/19/2012;05/19/2012;;Withdrew 
01/04/2012;National Nurses United;Daley Center;05/18/2012;05/18/2012;;Approved
01/05/2012;Illinois Policy Institute;Daley Center;01/11/2012;01/11/2012;;Withdrew 
01/09/2012;Tribeca Flashpoint Media Arts Academy;Daley Center;01/12/2012;01/12/2012;;Withdrew
01/09/2012;Northern Illinois United Methodist Women ;Daley Center;01/30/2012;01/30/2012;;Approved
01/18/2012;City Year Chicago;Daley Center;01/20/2012;01/20/2012;;Approved
01/31/2012;Navy Pier, Inc.;Daley Center;02/02/2012;03/16/2012;;Approved
01/31/2012;NBC/Shed Media USA;Daley Center;02/22/2012;02/22/2012;;Withdrew 
02/02/2012;Citizen's Official Services;Daley Center;03/30/2012;03/31/2012;;Approved
02/02/2012;Rape Victim Advocates;Daley Center;04/27/2012;04/27/2012;;Approved
02/06/2012;Fashion Market;Daley Center;06/01/2012;09/01/2012;;Denied
02/07/2012;City Year Chicago;Daley Center;02/17/2012;02/17/2012;;Approved
02/08/2012;Immigrant Youth Justice League;Daley Center;03/10/2012;03/10/2012;;Approved
02/09/2012;American Diabetes Association;Daley Center;03/27/2012;03/27/2012;;Approved
02/09/2012;Chicago Scenic Studio;Daley Center;03/27/2012;03/27/2012;;Denied
02/14/2012;Communion and Liberation;Daley Center;04/06/2012;04/06/2012;;Approved
02/16/2012;Consulate General of Republic of Bulgaria;Daley Center;03/02/2012;03/02/2012;;Approved
02/21/2012;Ogilvy Action;Daley Center;04/04/2012;04/04/2012;;Denied
02/21/2012;Department of Cultural Affairs and Special Events;Daley Center;07/09/2012;07/10/2012;;Approved
02/22/2012;Consulate General De France;Daley Center;07/14/2012;07/14/2012;;Approved
02/27/2012;Episcopal Diocese of Chicago;Daley Center;04/02/2012;04/02/2012;;Approved
02/27/2012;City Year Chicago;Daley Center;03/16/2012;03/16/2012;;Approved
02/27/2012;City Year Chicago;Daley Center;04/02/2012;04/02/2012;;Approved
02/27/2012;City Year Chicago;Daley Center;05/04/2012;05/04/2012;;Approved
02/27/2012;Episcopal Diocese of Chicago;Daley Center;04/02/2012;04/02/2012;;Approved
03/01/2012;Thomas Moore Society;Daley Center;04/12/2012;04/15/2012;;Approved
03/02/2012;Susan Basko;Daley Center;05/20/2012;05/20/2012;;Withdrew
03/06/2012;Coalition Against NATO/G8 War & Poverty Agenda;Daley Center;05/20/2012;05/20/2012;;Withdrew
03/07/2012;United Against the War on War;Daley Center;04/28/2012;04/28/2012;;Withdrew
03/09/2012;Chicago Cares;Daley Center;06/09/2012;06/09/2012;;Approved
03/12/2012;The Realm, Ltd;Daley Center;08/27/2012;08/31/2012;;Approved
03/13/2012;Boss Kane Productions;Daley Center;03/23/2012;03/23/2012;;Approved
03/14/2012;Illinois Coalition for Immigrant and Refugee Rights;Daley Center;06/14/2012;06/14/2012;;Approved
